category,branch,path,chunk,offset,virtual_offset,stored,original,compression,encryption0,encryption1,record_index,hash,chunk_group,chunk_part,chunk_index
camera_node,main,camera/cm_shake_vb_lt.scsp,base_b08_0.ssrc,14858704,1795096192,312,312,0,0,0,47735,98b293420afb507e,18,8,60
camera_node,main,camera/cm_shake_vb_rt.scsp,base_b02_0.ssrc,18298192,492266512,308,308,0,0,0,63766,cbb39df5eab26c06,18,2,54
camera_node,main,camera/cm_shake_vb_up.scsp,base_b00_0.ssrc,12970528,12970528,316,316,0,0,0,56294,b47743d7382c93ae,18,0,52
camera_node,main,camera/cm_shake_wk_up.scsp,base_b15_0.ssrc,16216672,3049167376,356,356,0,0,0,6446,1516d4aec1505ba7,18,15,66
camera_node,main,camera_path/fei_30048_ug_attack_cam.scsp,base_13_s13_b03_0.ssrc,3318768,129860896,608,608,0,0,0,67343,d74ab8c97b9b6afb,17,3,50
effect_cfx,main,effect/fei_30048_attack_play1.cfx,base_b07_0.ssrc,59716096,1624512736,349,1278,1,0,0,1296,04425c612dfc415b,18,7,59
spine_effect,main,effect/fei_30048_attack_play1_f1.atlas,base_b11_0.ssrc,59907888,2439742816,438,2647,1,0,0,4736,0f6f4031abf89e29,18,11,63
spine_effect,main,effect/fei_30048_attack_play1_f1.scsp,base_b15_0.ssrc,81288864,3114239568,9901,11273,1,0,0,78233,faa414f2824613a1,18,15,66
spine_effect,main,effect/fei_30048_attack_play1_f1.sct,base_b06_0.ssrc,51144960,1417634624,97945,103346,1,0,0,37383,775103e1d2d0f3d2,18,6,58
spine_effect,main,effect/fei_30048_attack_play1_f2.atlas,base_b11_0.ssrc,59908336,2439743264,388,2265,1,0,0,8085,1a256682677310af,18,11,63
spine_effect,main,effect/fei_30048_attack_play1_f2.scsp,base_b05_0.ssrc,61667968,1191862528,8083,8893,1,0,0,19098,3d5b44ca75a5cd53,18,5,57
spine_effect,main,effect/fei_30048_attack_play1_f2.sct,base_b06_0.ssrc,51242912,1417732576,161660,171707,1,0,0,542,01cd42c3df12eca0,18,6,58
spine_effect,main,effect/fei_30048_attack_play1_glow.atlas,base_b06_0.ssrc,51404576,1417894240,220,419,1,0,0,42554,8853ede37d5f1878,18,6,58
spine_effect,main,effect/fei_30048_attack_play1_glow.scsp,base_b00_0.ssrc,54390800,54390800,761,843,1,0,0,52870,a9b6c54abc12e736,18,0,52
spine_effect,main,effect/fei_30048_attack_play1_glow.sct,base_b02_0.ssrc,69608320,543576640,25664,26731,1,0,0,5363,1182d3b512146cf4,18,2,54
particle_config,main,effect/fei_30048_attack_play1_pat1.particle,base_b09_0.ssrc,71466096,2039775376,1260,5361,1,0,0,20599,4211cb4f0a4a3cc1,18,9,61
particle_config,main,effect/fei_30048_attack_play1_pat2.particle,base_b16_0.ssrc,50137216,3303141024,1259,5359,1,0,0,35621,71b8b20b7e7dfeba,18,16,67
effect_cfx,main,effect/fei_30048_attack_play2.cfx,base_b07_0.ssrc,59716448,1624513088,391,1837,1,0,0,6573,1571d546b5beaf0d,18,7,59
spine_effect,main,effect/fei_30048_attack_play2_b1.atlas,base_13_s13_b03_0.ssrc,27150080,153692208,322,1990,1,0,0,76566,f526fd9bab379707,17,3,50
spine_effect,main,effect/fei_30048_attack_play2_b1.scsp,base_b02_0.ssrc,69633984,543602304,1247,1636,1,0,0,25748,52f442dedd222dcc,18,2,54
spine_effect,main,effect/fei_30048_attack_play2_b1.sct,base_b17_0.ssrc,81280800,3559951648,40280,44609,1,0,0,28092,5a4cf2953f273417,18,17,68
spine_effect,main,effect/fei_30048_attack_play2_b2.atlas,base_b10_0.ssrc,64048432,2244259728,298,1584,1,0,0,40466,8160fd64f981afac,18,10,62
spine_effect,main,effect/fei_30048_attack_play2_b2.scsp,base_b08_0.ssrc,63471728,1843709216,1680,2023,1,0,0,16071,337fd3244b5a42e4,18,8,60
spine_effect,main,effect/fei_30048_attack_play2_b2.sct,base_b08_0.ssrc,63473408,1843710896,40004,42886,1,0,0,82,004bd12af083a6c6,18,8,60
