"Category","Prefabs","Packages","ExamplePrefabs"
"Elemental / Status FX","40","Cartoon FX Remaster; VFX_Klaus","CFXR Electrified 3; CFXR2 Sparks Rain; CFXR Fire Breath; CFXR Fire; CFXR2 Firewall A; CFXR4 Sun; CFXR Water Ripples; CFXR2 Blood (Directional)"
"Elemental Splash / Burst","95","Cartoon FX Remaster; VFX_Klaus","CFXR Water Splash (Smaller); CFXR2 Blood Shape Splash; CFXR4 Rain Splashes; HCFX_Splash_01; HCFX_Splash_02; HCFX_Splash_03; FX_splash_demon_air; FX_splash_demon_floor"
"Environment / Volumetric","16","Volumetric Fog & Mist 2; Volumetric Lights","CliffLow; Coloumn; Plant; Rock; Rock2; Rock3; Rock4; Level"
"Explosion / Burst","11","Cartoon FX Remaster; VFX_Klaus","CFXR2 WW Enemy Explosion; CFXR Explosion 1; CFXR Explosion Smoke 2 Solo (HDR); CFXR2 WW Explosion; CFXR3 Fire Explosion B; CFXR4 Firework 1 Cyan-Purple (HDR); CFXR _BOOM_; HCFX_Explosion_01"
"Hit / Impact","27","Cartoon FX Remaster; VFX_Klaus","CFXR3 Hit Electric C (Air); CFXR3 Hit Fire B (Air); CFXR3 Hit Ice B (Air); CFXR Hit A (Red); CFXR Hit D 3D (Yellow); CFXR Impact Glowing HDR (Blue); CFXR2 Ground Hit; CFXR3 Hit Light B (Air)"
"Magic / Energy","33","Cartoon FX Remaster; VFX_Klaus","CFXR3 LightGlow A (Loop); CFXR3 Magic Aura A (Runic); CFXR4 Bouncing Glows Bubble (Blue Purple); CFXR4 Falling Stars; CFXR Magic Poof; CFXR3 Ambient Glows; HCFX_Buff_Down; HCFX_Buff_Up"
"Melee Slash / Weapon Trail","49","Project Custom Effects; Cartoon FX Remaster; VFX_Klaus","FX_splash_sword_new_floor; CFXR4 Wind Trails; CFXR4 Sword Hit FIRE (Cross); CFXR4 Sword Trail FIRE (360 Spiral); CFXR4 Sword Trail FIRE (360 Thin Spiral); CFXR4 Sword Hit ICE (Cross); CFXR4 Sword Trail ICE (360 Spiral); CFXR4 Sword Trail ICE (360 Thin Spiral)"
"Projectile / Shoot Chain","129","Cartoon FX Remaster; VFX_Klaus","CFXR4 Firework HDR Shoot Single (Random Color); FX_Shoot_Arrow_hit; FX_Shoot_Arrow_muzzle; FX_Shoot_Arrow_projectile; FX_Shoot_Axe_hit; FX_Shoot_Axe_muzzle; FX_Shoot_Axe_projectile; FX_Shoot_Bomb_01_hit"
"Shield / Defensive FX","1","Cartoon FX Remaster","CFXR3 Shield Leaves A (Lit)"
"Skill Telegraph / Indicator","12","Skill Indicators","PF_IND_ArcTrajectory; PF_IND_Cone; PF_IND_CountdownDanger; PF_IND_Footprint; PF_IND_GroundCircle; PF_IND_HUDHoldProgress; PF_IND_LineRect; PF_IND_MonsterWarningCircle"
"Utility/Resource","36","Cartoon FX Remaster; VFX_Klaus","CFXR2 Skull Head Alt; CFXR2 Souls Escape; CFXR Flash; CFXR2 Broken Heart; CFXR2 Cartoon Fight (Loop); CFXR2 Shiny Item (Loop); HCFX_Candy; HCFX_Charging_01_Step1"
