"Package","Group","AssetType","Category","Tags","Placement","Name","Path","SizeKB","UseHint"
"Bajiaoshan Animation Assets","Bajiaoshan Animation Assets","Animation Clip","Animation Clip","Weapon Sprite Frames","","bajiaoshan_attack_diagonal_down_left","Assets/Art/Weapons/Ani/bajiaoshan_attack_diagonal_down_left.anim","28.6","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Animation Assets","Bajiaoshan Animation Assets","Animation Clip","Animation Clip","Weapon Sprite Frames","","bajiaoshan_attack_diagonal_down_right","Assets/Art/Weapons/Ani/bajiaoshan_attack_diagonal_down_right.anim","28.6","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Animation Assets","Bajiaoshan Animation Assets","Animation Clip","Animation Clip","Weapon Sprite Frames","","bajiaoshan_attack_down","Assets/Art/Weapons/Ani/bajiaoshan_attack_down.anim","28.6","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Animation Assets","Bajiaoshan Animation Assets","Animation Clip","Animation Clip","Weapon Sprite Frames","","bajiaoshan_attack_right_to_left","Assets/Art/Weapons/Ani/bajiaoshan_attack_right_to_left.anim","28.6","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Animation Assets","Bajiaoshan Animation Assets","Animation Clip","Animation Clip","Weapon Sprite Frames","","bajiaoshan_idle","Assets/Art/Weapons/Ani/bajiaoshan_idle.anim","12.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Animation Assets","Bajiaoshan Animation Assets","Animation Clip","Animation Clip","","","camera_test","Assets/Art/Weapons/Ani/camera_test.anim","4.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Animation Assets","Bajiaoshan Animation Assets","Animation Clip","Animation Clip","Screen/Post FX","","dodge","Assets/Art/Weapons/Ani/dodge.anim","44.7","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Animation Assets","Bajiaoshan Animation Assets","Animation Clip","Animation Clip","","","test","Assets/Art/Weapons/Ani/test.anim","4.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Animation Assets","Bajiaoshan Animation Assets","Animator Controller","Animator Controller","Weapon Sprite Frames","","bajiaoshan_attack","Assets/Art/Weapons/Ani/bajiaoshan_attack.controller","10.6","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Animation Assets","Bajiaoshan Animation Assets","Animator Controller","Animator Controller","","","Camera","Assets/Art/Weapons/Ani/Camera.controller","0.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Animation Assets","Bajiaoshan Animation Assets","Animator Controller","Animator Controller","","","test","Assets/Art/Weapons/Ani/test.controller","1.2","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Animation Assets","Bajiaoshan Animation Assets","Material","Material","","","Mat_fx_elements_set_03_highlight_inner","Assets/Art/Weapons/Ani/Mat_fx_elements_set_03_highlight_inner.mat","3.9","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","Data/Manifest","Data/Manifest","Air/Dust/Fog; Weapon Sprite Frames","","bajiaoshan_fanwind_frames_manifest","Assets/Art/Weapons/BajiaoshanFrames/bajiaoshan_fanwind_frames_manifest.json","1.8","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","Texture","Texture","Air/Dust/Fog; Weapon Sprite Frames","","bajiaoshan_fanwind_frame_01","Assets/Art/Weapons/BajiaoshanFrames/frames_2k/bajiaoshan_fanwind_frame_01.png","1039.6","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
