"Package","Group","Category","Tags","Placement","Name","Path","GameObjects","ParticleSystems","ParticleRenderers","TrailRenderers","LineRenderers","SpriteRenderers","MeshRenderers","Lights","VisualEffects","MonoBehaviours","NestedPrefabs","ReferencedMaterials","ReferencedTextures","ReferencedScripts","ReferencedPrefabs","ComponentSummary","ReferencedAssetsSample","UseHint"
"Cartoon FX Remaster","CFXR Prefabs / Eerie","Explosion / Burst","Explosion","","CFXR2 WW Enemy Explosion","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Prefabs/Eerie/CFXR2 WW Enemy Explosion.prefab","8","7","7","0","0","0","0","1","0","1","0","3","0","1","0","Transform:8; GameObject:8; ParticleSystem:7; ParticleSystemRenderer:7; MonoBehaviour:1; Light:1","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr stretch spikes smooth x2 hdr ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr ww smoke glow ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Scripts/CFXR_Effect.cs; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr stretch inv spike fade add.mat","Explosion or finisher beat; tune scale, camera shake, and audio timing together."
"Cartoon FX Remaster","CFXR Prefabs / Eerie","Utility/Resource","","","CFXR2 Skull Head Alt","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Prefabs/Eerie/CFXR2 Skull Head Alt.prefab","1","1","1","0","0","0","0","0","0","1","0","1","0","1","0","ParticleSystemRenderer:1; MonoBehaviour:1; ParticleSystem:1; GameObject:1; Transform:1","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr skull dissolve ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Scripts/CFXR_Effect.cs","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Prefabs / Eerie","Utility/Resource","","","CFXR2 Souls Escape","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Prefabs/Eerie/CFXR2 Souls Escape.prefab","4","3","3","0","0","0","0","1","0","1","0","3","0","1","0","Transform:4; GameObject:4; ParticleSystem:3; ParticleSystemRenderer:3; MonoBehaviour:1; Light:1","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr ghost trail add.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Scripts/CFXR_Effect.cs; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr cloud blur add.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr stretch inv spike fade add.mat","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Prefabs / Electric","Elemental / Status FX","Electric","","CFXR Electrified 3","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Prefabs/Electric/CFXR Electrified 3.prefab","4","3","3","0","0","0","0","1","0","1","0","3","0","1","0","Transform:4; GameObject:4; ParticleSystemRenderer:3; ParticleSystem:3; MonoBehaviour:1; Light:1","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr proc glow soft add.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr electric sparks hdr ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr electric small anim 4x2 hdr.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Scripts/CFXR_Effect.cs","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Prefabs / Electric","Elemental / Status FX","Electric; Weather","","CFXR2 Sparks Rain","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Prefabs/Electric/CFXR2 Sparks Rain.prefab","1","1","1","0","0","0","0","0","0","1","0","1","0","1","0","ParticleSystemRenderer:1; MonoBehaviour:1; ParticleSystem:1; GameObject:1; Transform:1","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr stretch trait hdr ab nosp.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Scripts/CFXR_Effect.cs","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Prefabs / Electric","Hit / Impact","Hit/Impact; Electric","Air/Attach","CFXR3 Hit Electric C (Air)","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Prefabs/Electric/CFXR3 Hit Electric C (Air).prefab","6","5","5","0","0","0","0","1","0","1","0","3","0","1","0","Transform:6; GameObject:6; ParticleSystemRenderer:5; ParticleSystem:5; Light:1; MonoBehaviour:1","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr electric sparks hdr ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr electric arcs fade x4 hdr ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr proc glow soft add.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Scripts/CFXR_Effect.cs","General hit feedback; recolor or swap material for different damage elements."
"Cartoon FX Remaster","CFXR Prefabs / Explosions","Explosion / Burst","Explosion","","CFXR Explosion 1","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Prefabs/Explosions/CFXR Explosion 1.prefab","7","6","6","0","0","0","0","1","0","1","0","5","0","1","0","Transform:7; GameObject:7; ParticleSystem:6; ParticleSystemRenderer:6; MonoBehaviour:1; Light:1","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr spikes impact ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr spikes impact mesh.asset; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Scripts/CFXR_Effect.cs; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr stretch trait ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr smoke cloud x4 ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr spikes impact add.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr proc ring hdr ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Meshes/cfxr ring mesh.asset","Explosion or finisher beat; tune scale, camera shake, and audio timing together."
"Cartoon FX Remaster","CFXR Prefabs / Explosions","Explosion / Burst","Explosion; Air/Dust/Fog","","CFXR Explosion Smoke 2 Solo (HDR)","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Prefabs/Explosions/CFXR Explosion Smoke 2 Solo (HDR).prefab","5","4","4","0","0","0","0","1","0","1","0","4","0","1","0","Transform:5; GameObject:5; ParticleSystemRenderer:4; ParticleSystem:4; MonoBehaviour:1; Light:1","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr proc glow soft invert add.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr smoke cloud x4 second color ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Scripts/CFXR_Effect.cs; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr smoke cloud x4 ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr stretch trait hdr ab.mat","Explosion or finisher beat; tune scale, camera shake, and audio timing together."
"Cartoon FX Remaster","CFXR Prefabs / Explosions","Explosion / Burst","Explosion","","CFXR2 WW Explosion","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Prefabs/Explosions/CFXR2 WW Explosion.prefab","9","8","8","0","0","0","0","1","0","1","0","3","0","1","0","Transform:9; GameObject:9; ParticleSystem:8; ParticleSystemRenderer:8; Light:1; MonoBehaviour:1","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr stretch spikes smooth x2 hdr ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr ww smoke second color ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Scripts/CFXR_Effect.cs; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr stretch inv spike fade add.mat","Explosion or finisher beat; tune scale, camera shake, and audio timing together."
"Cartoon FX Remaster","CFXR Prefabs / Explosions","Explosion / Burst","Explosion; Fire","","CFXR3 Fire Explosion B","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Prefabs/Explosions/CFXR3 Fire Explosion B.prefab","6","5","5","0","0","0","0","1","0","1","0","4","0","1","0","Transform:6; GameObject:6; ParticleSystemRenderer:5; ParticleSystem:5; MonoBehaviour:1; Light:1","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr smoke cloud x4 ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr fire small anim blurred hdr ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr ember blur hdr ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr proc ring hdr ab.mat; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Meshes/cfxr ring mesh.asset; Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Scripts/CFXR_Effect.cs","Explosion or finisher beat; tune scale, camera shake, and audio timing together."
