"Package","Group","Prefabs","Materials","Textures","Shaders","ShaderGraphs","DemoScenes","Animations","Audio","Readmes","Archives","TotalAssets","Notes"
"Bajiaoshan Animation Assets","Bajiaoshan Animation Assets","0","1","0","0","0","0","11","0","0","0","12","Fan weapon animation clips/controllers and related highlight materials."
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","0","0","15","0","0","0","0","0","0","0","16","Fan wind frame sequence and sprite sheets."
"Cartoon FX Remaster","Cartoon FX Remaster","0","0","0","0","0","1","0","0","0","0","1","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","CFXR Assets / Graphics","0","192","141","0","0","0","0","0","0","0","341","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","CFXR Assets / Meshes","0","0","0","0","0","0","0","0","0","0","4","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","CFXR Assets / Misc","0","1","2","0","0","0","0","0","0","0","5","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","CFXR Prefabs / Eerie","3","0","0","0","0","0","0","0","0","0","3","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","CFXR Prefabs / Electric","3","0","0","0","0","0","0","0","0","0","3","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","CFXR Prefabs / Explosions","6","0","0","0","0","0","0","0","0","0","6","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","CFXR Prefabs / Fire","5","0","0","0","0","0","0","0","0","0","5","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","CFXR Prefabs / Ice","1","0","0","0","0","0","0","0","0","0","1","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","CFXR Prefabs / Impacts","4","0","0","0","0","0","0","0","0","0","4","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","CFXR Prefabs / Light","2","0","0","0","0","0","0","0","0","0","2","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","CFXR Prefabs / Liquids","5","0","0","0","0","0","0","0","0","0","5","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","CFXR Prefabs / Magic Misc","3","0","0","0","0","0","0","0","0","0","3","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","CFXR Prefabs / Misc","10","0","0","0","0","0","0","0","0","0","10","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","CFXR Prefabs / Nature","5","0","0","0","0","0","0","0","0","0","5","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","CFXR Prefabs / Sword Trails","9","0","0","0","0","0","0","0","0","0","9","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","CFXR Prefabs / Texts","9","0","0","0","0","0","0","0","1","0","10","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Cartoon FX Remaster","Demo Assets","0","2","16","1","0","0","0","0","1","0","22","Cartoon prefabs for impacts, elements, text popups, sword trails, and ambient effects."
"Dodge Speed Lines","Dodge Speed Lines","0","0","0","1","0","0","0","0","0","0","1","URP screen speed-line post effect with RendererFeature, Volume, and shader."
"Fish Monster Hit Assets","Fish Monster Hit Assets","0","0","1","0","0","0","0","0","0","0","1","Fish monster hit feedback texture/audio resources."
"Project Custom Effects","Project Custom Effects","1","0","0","0","0","0","0","0","0","0","1","Project-specific combat effect prefabs."
"Skill Indicators","Indicator materials","0","7","0","0","0","0","0","0","0","0","7","Skill telegraph and targeting indicators: circles, cones, tethers, trajectories, warning zones."
"Skill Indicators","Indicator prefabs","12","0","0","0","0","0","0","0","0","0","12","Skill telegraph and targeting indicators: circles, cones, tethers, trajectories, warning zones."
"Skill Indicators","Indicator textures","0","0","11","0","0","0","0","0","0","0","11","Skill telegraph and targeting indicators: circles, cones, tethers, trajectories, warning zones."
"Skill Indicators","Skill Indicators","0","0","0","0","0","0","0","6","0","0","11","Skill telegraph and targeting indicators: circles, cones, tethers, trajectories, warning zones."
"VFX_Klaus","Hyper Casual FX","100","0","0","0","0","0","0","0","1","0","101","Stylized particle packs: Hyper Casual, Shoot & Hit, Slash, Element Splash, and timeline demos."
"VFX_Klaus","Materials","0","19","0","0","0","0","0","0","0","0","19","Stylized particle packs: Hyper Casual, Shoot & Hit, Slash, Element Splash, and timeline demos."
"VFX_Klaus","Shaders","0","0","0","3","10","0","0","0","0","0","13","Stylized particle packs: Hyper Casual, Shoot & Hit, Slash, Element Splash, and timeline demos."
"VFX_Klaus","Stylized Element Splash Vol.1","30","0","0","0","0","0","0","0","0","0","30","Stylized particle packs: Hyper Casual, Shoot & Hit, Slash, Element Splash, and timeline demos."
"VFX_Klaus","Stylized Element Splash Vol.2","30","0","0","0","0","0","0","0","0","0","30","Stylized particle packs: Hyper Casual, Shoot & Hit, Slash, Element Splash, and timeline demos."
"VFX_Klaus","Stylized Element Splash Vol.3","30","0","0","0","0","0","0","0","0","0","30","Stylized particle packs: Hyper Casual, Shoot & Hit, Slash, Element Splash, and timeline demos."
"VFX_Klaus","Stylized Hit & Slash","33","0","0","0","0","0","0","0","0","0","33","Stylized particle packs: Hyper Casual, Shoot & Hit, Slash, Element Splash, and timeline demos."
"VFX_Klaus","Stylized Shoot & Hit","64","0","0","0","0","0","0","0","1","0","65","Stylized particle packs: Hyper Casual, Shoot & Hit, Slash, Element Splash, and timeline demos."
"VFX_Klaus","Stylized Shoot & Hit Vol.2","63","0","0","0","0","0","0","0","1","0","64","Stylized particle packs: Hyper Casual, Shoot & Hit, Slash, Element Splash, and timeline demos."
"VFX_Klaus","Textures","0","0","9","0","0","0","0","0","0","0","9","Stylized particle packs: Hyper Casual, Shoot & Hit, Slash, Element Splash, and timeline demos."
"VFX_Klaus","Timeline demo prefabs","5","0","0","0","0","0","0","0","0","0","10","Stylized particle packs: Hyper Casual, Shoot & Hit, Slash, Element Splash, and timeline demos."
"VFX_Klaus","VFX Lab scenes","0","0","0","0","0","7","0","0","0","0","8","Stylized particle packs: Hyper Casual, Shoot & Hit, Slash, Element Splash, and timeline demos."
"VFX_Klaus","VFX_Klaus","0","0","0","0","0","0","0","0","3","0","3","Stylized particle packs: Hyper Casual, Shoot & Hit, Slash, Element Splash, and timeline demos."
"Volumetric Fog & Mist 2","Demo / DemoAncientLands","8","10","33","0","0","1","0","0","0","0","54","URP volumetric fog system, fog volumes, fog of war, distant fog, presets, and demos."
"Volumetric Fog & Mist 2","Demo / DemoBasic","0","2","3","0","0","1","0","0","0","0","7","URP volumetric fog system, fog volumes, fog of war, distant fog, presets, and demos."
"Volumetric Fog & Mist 2","Demo / DemoFans","0","2","0","0","0","1","2","0","0","0","6","URP volumetric fog system, fog volumes, fog of war, distant fog, presets, and demos."
